slide_id,slide_type,forest,n,n_slide,n_runout,tp,tn,fp,fn,auc,auc_prob
20,2,0,4588,107,599.0,107,834,492,0,0.9451015398348582,0.9881524693044568
20,2,1,4588,107,599.0,107,834,492,0,0.9451015398348582,0.9881524693044568
20,2,2,4588,107,599.0,107,834,492,0,0.9451015398348582,0.9881524693044568
20,2,3,4588,107,599.0,107,834,492,0,0.9451015398348582,0.9881524693044568
20,2,4,4588,107,599.0,107,834,492,0,0.9451015398348582,0.9881524693044568
20,2,5,4588,107,599.0,107,834,492,0,0.9451015398348582,0.9881524693044568
20,3,0,4588,107,304.0,97,1119,207,10,0.9301735051630248,0.9420408495266619
20,3,1,4588,107,304.0,97,1119,207,10,0.9301735051630248,0.9420408495266619
20,3,2,4588,107,304.0,97,1119,207,10,0.9301735051630248,0.9420408495266619
20,3,3,4588,107,304.0,97,1119,207,10,0.9301735051630248,0.9420408495266619
20,3,4,4588,107,304.0,97,1119,207,10,0.9301735051630248,0.9420408495266619
20,3,5,4588,107,304.0,97,1119,207,10,0.9301735051630248,0.9420408495266619
21,0,0,6344,69,1262.0,69,452,1193,0,0.9049402390438247,0.9984006004965644
21,0,1,6344,69,1262.0,69,452,1193,0,0.9049402390438247,0.9984006004965644
21,0,2,6344,69,1262.0,69,452,1193,0,0.9049402390438247,0.9984006004965644
21,0,3,6344,69,1262.0,69,452,1193,0,0.9049402390438247,0.9984006004965644
21,0,4,6344,69,1262.0,69,452,1193,0,0.9049402390438247,0.9984006004965644
21,0,5,6344,69,1262.0,69,452,1193,0,0.9049402390438247,0.9984006004965644
21,1,0,6344,69,250.0,69,1464,181,0,0.9855776892430279,0.9960667475027427
21,1,1,6344,69,250.0,69,1464,181,0,0.9855776892430279,0.9960667475027427
21,1,2,6344,69,250.0,69,1464,181,0,0.9855776892430279,0.9960667475027427
21,1,3,6344,69,250.0,69,1464,181,0,0.9855776892430279,0.9960667475027427
21,1,4,6344,69,250.0,69,1464,181,0,0.9855776892430279,0.9960667475027427
21,1,5,6344,69,250.0,69,1464,181,0,0.9855776892430279,0.9960667475027427
21,2,0,6344,69,585.0,69,1129,516,0,0.9588844621513944,0.9984075293030776
21,2,1,6344,69,584.0,69,1130,515,0,0.9589641434262948,0.9984075293030775
21,2,2,6344,69,584.0,69,1130,515,0,0.9589641434262948,0.9984075293030775
21,2,3,6344,69,584.0,69,1130,515,0,0.9589641434262948,0.9984075293030775
21,2,4,6344,69,585.0,69,1129,516,0,0.9588844621513944,0.9984075293030776
21,2,5,6344,69,585.0,69,1129,516,0,0.9588844621513944,0.9984075293030776
21,3,0,6344,69,247.0,69,1467,178,0,0.9858167330677291,0.9965840983890525
